"Year","Subject group HECoS CAH1","Age group","Domicile","Gender","Applications"
"2024","(CAH09) mathematical sciences","21 - 24","Not EU","Man","540"
"2025","(CAH09) mathematical sciences","21 - 24","Not EU","Man","540"
"2026","(CAH09) mathematical sciences","21 - 24","Not EU","Man","590"
"2019","(CAH22) education and teaching","21 - 24","Not EU","Man","60"
"2020","(CAH22) education and teaching","21 - 24","Not EU","Man","40"
"2021","(CAH22) education and teaching","21 - 24","Not EU","Man","60"
"2022","(CAH22) education and teaching","21 - 24","Not EU","Man","70"
"2023","(CAH22) education and teaching","21 - 24","Not EU","Man","110"
"2024","(CAH22) education and teaching","21 - 24","Not EU","Man","100"
"2025","(CAH22) education and teaching","21 - 24","Not EU","Man","120"
"2026","(CAH22) education and teaching","21 - 24","Not EU","Man","80"
"2019","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","30"
"2020","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","50"
"2021","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","70"
"2022","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","90"
"2023","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","90"
"2024","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","80"
"2025","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","60"
"2026","(CAH06) agriculture, food and related studies","21 - 24","Not EU","Man","30"
"2019","(CAH16) law","21 - 24","Not EU","Man","2590"
"2020","(CAH16) law","21 - 24","Not EU","Man","2230"
"2021","(CAH16) law","21 - 24","Not EU","Man","2490"
"2022","(CAH16) law","21 - 24","Not EU","Man","2650"
"2023","(CAH16) law","21 - 24","Not EU","Man","2520"
"2024","(CAH16) law","21 - 24","Not EU","Man","2340"
"2025","(CAH16) law","21 - 24","Not EU","Man","2310"
"2026","(CAH16) law","21 - 24","Not EU","Man","2260"
"2019","(CAH05) veterinary sciences","21 - 24","Not EU","Man","50"
"2020","(CAH05) veterinary sciences","21 - 24","Not EU","Man","50"
"2021","(CAH05) veterinary sciences","21 - 24","Not EU","Man","50"
"2022","(CAH05) veterinary sciences","21 - 24","Not EU","Man","70"
"2023","(CAH05) veterinary sciences","21 - 24","Not EU","Man","80"
"2024","(CAH05) veterinary sciences","21 - 24","Not EU","Man","90"
"2025","(CAH05) veterinary sciences","21 - 24","Not EU","Man","80"
"2026","(CAH05) veterinary sciences","21 - 24","Not EU","Man","80"
"2019","Unassigned","25 - 29","Not EU","Man","10"
"2020","Unassigned","25 - 29","Not EU","Man","0"
"2021","Unassigned","25 - 29","Not EU","Man","0"
"2022","Unassigned","25 - 29","Not EU","Man","0"
"2023","Unassigned","25 - 29","Not EU","Man","0"
"2024","Unassigned","25 - 29","Not EU","Man","0"
"2025","Unassigned","25 - 29","Not EU","Man","0"
"2026","Unassigned","25 - 29","Not EU","Man","0"
"2019","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","370"
"2020","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","330"
"2021","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","290"
"2022","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","520"
"2023","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","490"
"2024","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","430"
"2025","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","330"
"2026","(CAH25) design, and creative and performing arts","25 - 29","Not EU","Man","330"
"2019","(CAH10) engineering and technology","25 - 29","Not EU","Man","430"
"2020","(CAH10) engineering and technology","25 - 29","Not EU","Man","380"
"2021","(CAH10) engineering and technology","25 - 29","Not EU","Man","370"
"2022","(CAH10) engineering and technology","25 - 29","Not EU","Man","580"
"2023","(CAH10) engineering and technology","25 - 29","Not EU","Man","680"
"2024","(CAH10) engineering and technology","25 - 29","Not EU","Man","540"
"2025","(CAH10) engineering and technology","25 - 29","Not EU","Man","620"
"2026","(CAH10) engineering and technology","25 - 29","Not EU","Man","530"
"2019","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","360"
"2020","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","420"
"2021","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","660"
"2022","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","910"
"2023","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","970"
"2024","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","790"
"2025","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","1010"
"2026","(CAH02) subjects allied to medicine","25 - 29","Not EU","Man","1030"
"2019","(CAH19) language and area studies","25 - 29","Not EU","Man","50"
"2020","(CAH19) language and area studies","25 - 29","Not EU","Man","70"
"2021","(CAH19) language and area studies","25 - 29","Not EU","Man","50"
"2022","(CAH19) language and area studies","25 - 29","Not EU","Man","70"
"2023","(CAH19) language and area studies","25 - 29","Not EU","Man","80"
"2024","(CAH19) language and area studies","25 - 29","Not EU","Man","60"
"2025","(CAH19) language and area studies","25 - 29","Not EU","Man","60"
"2026","(CAH19) language and area studies","25 - 29","Not EU","Man","70"
"2019","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","50"
"2020","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","50"
"2021","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","70"
"2022","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","80"
"2023","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","140"
"2024","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","80"
"2025","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","50"
"2026","(CAH24) media, journalism and communications","25 - 29","Not EU","Man","90"
"2019","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2020","(CAH23) combined and general studies","25 - 29","Not EU","Man","10"
"2021","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2022","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2023","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2024","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2025","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2026","(CAH23) combined and general studies","25 - 29","Not EU","Man","20"
"2019","(CAH17) business and management","25 - 29","Not EU","Man","530"
"2020","(CAH17) business and management","25 - 29","Not EU","Man","510"
"2021","(CAH17) business and management","25 - 29","Not EU","Man","670"
"2022","(CAH17) business and management","25 - 29","Not EU","Man","1120"
"2023","(CAH17) business and management","25 - 29","Not EU","Man","1440"
"2024","(CAH17) business and management","25 - 29","Not EU","Man","920"
"2025","(CAH17) business and management","25 - 29","Not EU","Man","890"
"2026","(CAH17) business and management","25 - 29","Not EU","Man","750"
"2019","(CAH15) social sciences","25 - 29","Not EU","Man","270"
"2020","(CAH15) social sciences","25 - 29","Not EU","Man","280"
"2021","(CAH15) social sciences","25 - 29","Not EU","Man","440"
"2022","(CAH15) social sciences","25 - 29","Not EU","Man","720"
"2023","(CAH15) social sciences","25 - 29","Not EU","Man","660"
"2024","(CAH15) social sciences","25 - 29","Not EU","Man","480"
"2025","(CAH15) social sciences","25 - 29","Not EU","Man","510"
"2026","(CAH15) social sciences","25 - 29","Not EU","Man","590"
"2019","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","120"
"2020","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","130"
"2021","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","120"
"2022","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","130"
"2023","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","240"
"2024","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","170"
"2025","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","130"
"2026","(CAH03) biological and sport sciences","25 - 29","Not EU","Man","150"
"2019","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","110"
"2020","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","120"
"2021","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","100"
"2022","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","210"
"2023","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","170"
"2024","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","100"
"2025","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","80"
"2026","(CAH13) architecture, building and planning","25 - 29","Not EU","Man","80"
"2019","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","230"
"2020","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","200"
"2021","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","290"
"2022","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","320"
"2023","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","230"
"2024","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","240"
"2025","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","230"
"2026","(CAH01) medicine and dentistry","25 - 29","Not EU","Man","250"
"2019","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","60"
"2020","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","60"
"2021","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","60"
"2022","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","120"
"2023","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","120"
"2024","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","80"
"2025","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","80"
"2026","(CAH20) historical, philosophical and religious studies","25 - 29","Not EU","Man","90"
"2019","(CAH11) computing","25 - 29","Not EU","Man","300"
"2020","(CAH11) computing","25 - 29","Not EU","Man","340"
"2021","(CAH11) computing","25 - 29","Not EU","Man","440"
"2022","(CAH11) computing","25 - 29","Not EU","Man","690"
"2023","(CAH11) computing","25 - 29","Not EU","Man","930"
"2024","(CAH11) computing","25 - 29","Not EU","Man","660"
"2025","(CAH11) computing","25 - 29","Not EU","Man","620"
"2026","(CAH11) computing","25 - 29","Not EU","Man","680"
"2019","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","50"
"2020","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","20"
"2021","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","40"
"2022","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","70"
"2023","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","50"
"2024","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","50"
"2025","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","40"
"2026","(CAH26) geography, earth and environmental studies","25 - 29","Not EU","Man","40"
"2019","(CAH07) physical sciences","25 - 29","Not EU","Man","30"
"2020","(CAH07) physical sciences","25 - 29","Not EU","Man","60"
"2021","(CAH07) physical sciences","25 - 29","Not EU","Man","70"
"2022","(CAH07) physical sciences","25 - 29","Not EU","Man","40"
"2023","(CAH07) physical sciences","25 - 29","Not EU","Man","60"
"2024","(CAH07) physical sciences","25 - 29","Not EU","Man","40"
"2025","(CAH07) physical sciences","25 - 29","Not EU","Man","70"
"2026","(CAH07) physical sciences","25 - 29","Not EU","Man","50"
"2019","(CAH04) psychology","25 - 29","Not EU","Man","70"
"2020","(CAH04) psychology","25 - 29","Not EU","Man","100"
"2021","(CAH04) psychology","25 - 29","Not EU","Man","60"
"2022","(CAH04) psychology","25 - 29","Not EU","Man","100"
"2023","(CAH04) psychology","25 - 29","Not EU","Man","70"
"2024","(CAH04) psychology","25 - 29","Not EU","Man","70"
"2025","(CAH04) psychology","25 - 29","Not EU","Man","60"
"2026","(CAH04) psychology","25 - 29","Not EU","Man","70"
"2019","(CAH09) mathematical sciences","25 - 29","Not EU","Man","60"
"2020","(CAH09) mathematical sciences","25 - 29","Not EU","Man","70"
"2021","(CAH09) mathematical sciences","25 - 29","Not EU","Man","60"
"2022","(CAH09) mathematical sciences","25 - 29","Not EU","Man","60"
"2023","(CAH09) mathematical sciences","25 - 29","Not EU","Man","70"
"2024","(CAH09) mathematical sciences","25 - 29","Not EU","Man","90"
"2025","(CAH09) mathematical sciences","25 - 29","Not EU","Man","90"
"2026","(CAH09) mathematical sciences","25 - 29","Not EU","Man","90"
"2019","(CAH22) education and teaching","25 - 29","Not EU","Man","40"
"2020","(CAH22) education and teaching","25 - 29","Not EU","Man","30"
"2021","(CAH22) education and teaching","25 - 29","Not EU","Man","40"
"2022","(CAH22) education and teaching","25 - 29","Not EU","Man","90"
"2023","(CAH22) education and teaching","25 - 29","Not EU","Man","80"
"2024","(CAH22) education and teaching","25 - 29","Not EU","Man","60"
"2025","(CAH22) education and teaching","25 - 29","Not EU","Man","70"
"2026","(CAH22) education and teaching","25 - 29","Not EU","Man","60"
"2019","(CAH06) agriculture, food and related studies","25 - 29","Not EU","Man","30"
"2020","(CAH06) agriculture, food and related studies","25 - 29","Not EU","Man","30"
