time_period,academic_year,YAG,qualification_level,sex,CAH3_code,CAH3_subject,grads,grads_uk,unmatched_percent,overseas_percent,matched,activity_not_captured,no_sust_dest,sust_emp_only,sust_emp_with_or_without_fs,sust_emp_fs_or_both,fs_with_or_without_sust_emp,earnings_include,earnings_LQ,earnings_median,earnings_UQ
202122,2019/2020,1 YAG,First-degree,Female,CAH03-01-03,Ecology and environmental biology,485,470,0.2,3,470,1.6,9.1,52.1,79.1,89.3,37.1,235,12800,18200,22600
202324,2019/2020,3 YAG,First-degree,Female,CAH19-01-02,English language,600,585,0.9,3,580,5.2,6.6,71.9,84,88.2,16.3,415,23100,27800,30700
202324,2019/2020,3 YAG,First-degree,Female,CAH24-01-03,Publishing,120,120,0.4,2.1,120,1.8,10.7,79.2,83.7,87.5,8.3,90,22700,26400,31100
202223,2020/2021,1 YAG,First-degree,Female,CAH10-01-09,"Chemical, process and energy engineering",470,460,0.4,2.1,460,3.3,3.5,71.4,88.5,93.3,21.9,325,26300,31400,36100
202122,2019/2020,1 YAG,First-degree,Female,CAH06-01-07,Food sciences,150,150,1.1,1.6,145,1.3,5.2,76.2,91.1,93.5,17.3,110,19300,23400,25900
202122,2019/2020,1 YAG,First-degree,Male,CAH17-01-03,Marketing,1570,1555,0.8,0.9,1545,3.8,9.4,72.4,84.2,86.9,14.5,1090,17500,21500,26300
202223,2020/2021,1 YAG,First-degree,Male,CAH15-04-03,Health studies,295,290,2.1,0.8,285,1.8,5.4,44.8,84.2,92.8,48.1,125,16800,26000,36100
202122,2019/2020,1 YAG,First-degree,Female,CAH10-01-09,"Chemical, process and energy engineering",395,385,0.5,2.6,380,4.4,3.1,70.9,89.2,92.6,21.7,270,26300,30700,34700
202324,2019/2020,3 YAG,First-degree,Female,CAH10-01-02,Mechanical engineering,445,435,1.4,2.6,430,3.5,5.3,74.7,89.1,91.2,16.5,320,32200,38800,45400
202324,2019/2020,3 YAG,First-degree,Female,CAH17-01-02,Business studies,4520,4435,0.9,1.9,4395,5.3,9.4,75.2,83,85.3,10.1,3220,23400,29300,37300
202223,2020/2021,1 YAG,First-degree,Female,CAH17-01-06,"Tourism, transport and travel",2615,2525,0.9,3.4,2505,2.6,8,72,85.5,89.4,17.4,1760,18600,23000,26600
202324,2019/2020,3 YAG,First-degree,Male,CAH17-01-03,Marketing,1570,1530,1,2.7,1510,5.6,8.9,82.3,84.8,85.5,3.1,1220,24900,29600,37000
202324,2019/2020,3 YAG,First-degree,Female,CAH03-01-02,Biology (non-specific),1570,1520,0.3,3,1520,2.9,6,61.5,82.9,91.1,29.5,910,24500,29600,35500
202324,2019/2020,3 YAG,First-degree,Male,CAH19-04-04,Iberian studies,255,230,0.9,10,230,9.7,6.5,71.2,81.1,83.8,12.6,160,26400,34000,46500
