"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 7","Female","CAH15-01","Sociology, social policy and anthropology","CAH15-01-01","Social sciences (non-specific)",395,365,"11.5","7.7","325","18.2","7.6","65.6","72.3","74.3","8.7","190","16400","29900","44200"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",3450,3370,"9.4","2.4","3055","5.1","2.4","78.7","91.8","92.5","13.7","2330","21200","31000","39100"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","First-degree","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",4710,4640,"4.4","1.5","4435","7.7","4.1","83.1","87.5","88.2","5.1","3520","13500","22300","32100"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","First-degree","Male","CAH02-06","Allied health","CAH02-06-05","Physiotherapy",470,460,"1.3","1.7","455","2.2","4.6","80.9","92.3","93.2","12.3","360","22600","25800","28800"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","First-degree","Male","CAH25-01","Creative arts and design","CAH25-01-03","Design studies",3550,3475,"0.7","2.1","3455","5.1","11.9","76.7","80.9","83","6.3","2535","13200","18300","23100"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","First-degree","Female","CAH23-01","Combined and general studies","CAH23-01-01","Combined, general or negotiated studies",2220,2165,"2.2","2.3","2120","8.3","6","59.1","78.8","85.7","26.6","1165","11000","18600","26600"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","Level 7","Male","CAH22-01","Education and teaching","CAH22-01-01","Education",3140,3025,"2.2","3.7","2960","4.3","2.2","76.7","92.2","93.5","16.8","2215","30700","38700","46700"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 7","Female","CAH02-06","Allied health","CAH02-06-07","Counselling, psychotherapy and occupational therapy",1290,1275,"3.6","1.3","1230","4.7","3.4","78.9","90.6","91.9","13","905","18600","27700","35400"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",1500,1475,"7.8","1.8","1360","5.1","2.2","83.3","92","92.7","9.4","1085","27400","39900","49800"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","First-degree","Female","CAH02-06","Allied health","CAH02-06-07","Counselling, psychotherapy and occupational therapy",1790,1755,"0.7","2","1745","4.3","5.8","77.5","88.6","89.9","12.3","1305","22300","31500","36600"
