Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2019,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,All,All,30
2020,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,All,All,35
2021,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,All,All,35
2022,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,All,All,30
2023,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,All,All,35
2024,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,All,All,40
2019,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,All,All,135
2020,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,All,All,160
2021,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,All,All,175
2022,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,All,All,155
2023,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,All,All,125
2024,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,All,All,90
2019,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,All,All,1055
2020,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,All,All,1440
2021,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,All,All,1240
2022,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,All,All,1250
2023,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,All,All,1240
2024,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,All,All,1250
2019,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,All,All,555
2020,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,All,All,650
2021,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,All,All,685
2022,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,All,All,670
2023,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,All,All,695
2024,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,All,All,705
2019,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,All,All,390
2020,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,All,All,360
2021,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,All,All,355
2022,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,All,All,310
2023,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,All,All,290
2024,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,All,All,325
2019,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,All,All,245
2020,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,All,All,255
2021,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,All,All,235
